current_idx=1, max_score=0.259605, most_related_idx=7
current_idx=2, max_score=0.082964, most_related_idx=73
current_idx=3, max_score=0.284524, most_related_idx=17
current_idx=4, max_score=0.167342, most_related_idx=20
current_idx=5, max_score=0.219342, most_related_idx=3
current_idx=6, max_score=0.092173, most_related_idx=86
current_idx=7, max_score=0.259605, most_related_idx=1
current_idx=8, max_score=0.144035, most_related_idx=10
current_idx=9, max_score=0.163793, most_related_idx=7
current_idx=10, max_score=0.144035, most_related_idx=8
current_idx=11, max_score=0.179418, most_related_idx=17
current_idx=12, max_score=0.151408, most_related_idx=14
current_idx=13, max_score=0.206726, most_related_idx=15
current_idx=14, max_score=0.151408, most_related_idx=12
current_idx=15, max_score=0.206726, most_related_idx=13
current_idx=16, max_score=0.167490, most_related_idx=1
current_idx=17, max_score=0.284524, most_related_idx=3
current_idx=18, max_score=0.144029, most_related_idx=16
current_idx=19, max_score=0.133873, most_related_idx=11
current_idx=20, max_score=0.167342, most_related_idx=4
current_idx=21, max_score=0.082545, most_related_idx=41
current_idx=22, max_score=0.140482, most_related_idx=54
current_idx=23, max_score=0.079844, most_related_idx=45
current_idx=24, max_score=0.099252, most_related_idx=10
current_idx=25, max_score=0.102367, most_related_idx=41
current_idx=26, max_score=0.110383, most_related_idx=42
current_idx=27, max_score=0.069741, most_related_idx=29
current_idx=28, max_score=0.097949, most_related_idx=30
current_idx=29, max_score=0.159639, most_related_idx=31
current_idx=30, max_score=0.117321, most_related_idx=42
current_idx=31, max_score=0.159639, most_related_idx=29
current_idx=32, max_score=0.123695, most_related_idx=84
current_idx=33, max_score=0.092777, most_related_idx=35
current_idx=34, max_score=0.108381, most_related_idx=17
current_idx=35, max_score=0.095364, most_related_idx=31
current_idx=36, max_score=0.088522, most_related_idx=78
current_idx=37, max_score=0.111048, most_related_idx=43
current_idx=38, max_score=0.096057, most_related_idx=78
current_idx=39, max_score=0.095994, most_related_idx=41
current_idx=40, max_score=0.105620, most_related_idx=32
current_idx=41, max_score=0.133002, most_related_idx=43
current_idx=42, max_score=0.117321, most_related_idx=30
current_idx=43, max_score=0.133002, most_related_idx=41
current_idx=44, max_score=0.086268, most_related_idx=78
current_idx=45, max_score=0.117732, most_related_idx=47
current_idx=46, max_score=0.101192, most_related_idx=31
current_idx=47, max_score=0.117732, most_related_idx=45
current_idx=48, max_score=0.124650, most_related_idx=50
current_idx=49, max_score=0.113990, most_related_idx=51
current_idx=50, max_score=0.214117, most_related_idx=52
current_idx=51, max_score=0.124829, most_related_idx=53
current_idx=52, max_score=0.214117, most_related_idx=50
current_idx=53, max_score=0.124829, most_related_idx=51
current_idx=54, max_score=0.189330, most_related_idx=52
current_idx=55, max_score=0.157422, most_related_idx=59
current_idx=56, max_score=0.136611, most_related_idx=54
current_idx=57, max_score=0.223009, most_related_idx=59
current_idx=58, max_score=0.251158, most_related_idx=76
current_idx=59, max_score=0.223009, most_related_idx=57
current_idx=60, max_score=0.149332, most_related_idx=62
current_idx=61, max_score=0.194630, most_related_idx=59
current_idx=62, max_score=0.149332, most_related_idx=60
current_idx=63, max_score=0.200897, most_related_idx=59
current_idx=64, max_score=0.133952, most_related_idx=62
current_idx=65, max_score=0.141331, most_related_idx=17
current_idx=66, max_score=0.201901, most_related_idx=72
current_idx=67, max_score=0.085591, most_related_idx=51
current_idx=68, max_score=0.190395, most_related_idx=70
current_idx=69, max_score=0.126815, most_related_idx=71
current_idx=70, max_score=0.230025, most_related_idx=72
current_idx=71, max_score=0.126815, most_related_idx=69
current_idx=72, max_score=0.273063, most_related_idx=76
current_idx=73, max_score=0.160347, most_related_idx=75
current_idx=74, max_score=0.225594, most_related_idx=76
current_idx=75, max_score=0.160347, most_related_idx=73
current_idx=76, max_score=0.273063, most_related_idx=72
current_idx=77, max_score=0.090341, most_related_idx=79
current_idx=78, max_score=0.155505, most_related_idx=76
current_idx=79, max_score=0.090341, most_related_idx=77
current_idx=80, max_score=0.099986, most_related_idx=52
current_idx=81, max_score=0.074384, most_related_idx=3
current_idx=82, max_score=0.115674, most_related_idx=84
current_idx=83, max_score=0.089535, most_related_idx=85
current_idx=84, max_score=0.123695, most_related_idx=32
current_idx=85, max_score=0.089535, most_related_idx=83
current_idx=86, max_score=0.213519, most_related_idx=3
current_idx=87, max_score=0.111734, most_related_idx=19
current_idx=88, max_score=0.192210, most_related_idx=86
current_idx=89, max_score=0.199680, most_related_idx=91
current_idx=90, max_score=0.161923, most_related_idx=76
current_idx=91, max_score=0.199680, most_related_idx=89
current_idx=92, max_score=0.096485, most_related_idx=94
current_idx=93, max_score=0.143850, most_related_idx=95
current_idx=94, max_score=0.096485, most_related_idx=92
current_idx=95, max_score=0.143850, most_related_idx=93
current_idx=96, max_score=0.084725, most_related_idx=11
current_idx=97, max_score=0.099866, most_related_idx=93
current_idx=98, max_score=0.113300, most_related_idx=42
current_idx=99, max_score=0.093398, most_related_idx=97
