current_idx=1, max_score=0.199187, most_related_idx=7
current_idx=2, max_score=0.146497, most_related_idx=4
current_idx=3, max_score=0.235325, most_related_idx=17
current_idx=4, max_score=0.146497, most_related_idx=2
current_idx=5, max_score=0.173651, most_related_idx=7
current_idx=6, max_score=0.108337, most_related_idx=4
current_idx=7, max_score=0.215876, most_related_idx=9
current_idx=8, max_score=0.128566, most_related_idx=10
current_idx=9, max_score=0.215876, most_related_idx=7
current_idx=10, max_score=0.158728, most_related_idx=78
current_idx=11, max_score=0.171845, most_related_idx=7
current_idx=12, max_score=0.090703, most_related_idx=16
current_idx=13, max_score=0.166122, most_related_idx=11
current_idx=14, max_score=0.117254, most_related_idx=16
current_idx=15, max_score=0.216025, most_related_idx=17
current_idx=16, max_score=0.117254, most_related_idx=14
current_idx=17, max_score=0.235325, most_related_idx=3
current_idx=18, max_score=0.187902, most_related_idx=20
current_idx=19, max_score=0.154307, most_related_idx=15
current_idx=20, max_score=0.187902, most_related_idx=18
current_idx=21, max_score=0.135575, most_related_idx=48
current_idx=22, max_score=0.118071, most_related_idx=36
current_idx=23, max_score=0.096389, most_related_idx=43
current_idx=24, max_score=0.130041, most_related_idx=10
current_idx=25, max_score=0.075450, most_related_idx=39
current_idx=26, max_score=0.101366, most_related_idx=30
current_idx=27, max_score=0.087109, most_related_idx=31
current_idx=28, max_score=0.117541, most_related_idx=30
current_idx=29, max_score=0.211400, most_related_idx=31
current_idx=30, max_score=0.117541, most_related_idx=28
current_idx=31, max_score=0.211400, most_related_idx=29
current_idx=32, max_score=0.158077, most_related_idx=50
current_idx=33, max_score=0.122649, most_related_idx=19
current_idx=34, max_score=0.142532, most_related_idx=20
current_idx=35, max_score=0.124720, most_related_idx=29
current_idx=36, max_score=0.140566, most_related_idx=78
current_idx=37, max_score=0.104798, most_related_idx=38
current_idx=38, max_score=0.137875, most_related_idx=40
current_idx=39, max_score=0.092521, most_related_idx=41
current_idx=40, max_score=0.137875, most_related_idx=38
current_idx=41, max_score=0.106252, most_related_idx=45
current_idx=42, max_score=0.122288, most_related_idx=24
current_idx=43, max_score=0.131928, most_related_idx=45
current_idx=44, max_score=0.125820, most_related_idx=10
current_idx=45, max_score=0.150290, most_related_idx=47
current_idx=46, max_score=0.117726, most_related_idx=98
current_idx=47, max_score=0.150290, most_related_idx=45
current_idx=48, max_score=0.192219, most_related_idx=50
current_idx=49, max_score=0.081392, most_related_idx=37
current_idx=50, max_score=0.298332, most_related_idx=52
current_idx=51, max_score=0.136260, most_related_idx=53
current_idx=52, max_score=0.298332, most_related_idx=50
current_idx=53, max_score=0.136260, most_related_idx=51
current_idx=54, max_score=0.188958, most_related_idx=52
current_idx=55, max_score=0.158121, most_related_idx=57
current_idx=56, max_score=0.140840, most_related_idx=54
current_idx=57, max_score=0.269442, most_related_idx=59
current_idx=58, max_score=0.153774, most_related_idx=60
current_idx=59, max_score=0.269442, most_related_idx=57
current_idx=60, max_score=0.153774, most_related_idx=58
current_idx=61, max_score=0.250136, most_related_idx=63
current_idx=62, max_score=0.163107, most_related_idx=64
current_idx=63, max_score=0.250136, most_related_idx=61
current_idx=64, max_score=0.163107, most_related_idx=62
current_idx=65, max_score=0.124683, most_related_idx=67
current_idx=66, max_score=0.172600, most_related_idx=76
current_idx=67, max_score=0.168694, most_related_idx=17
current_idx=68, max_score=0.124667, most_related_idx=72
current_idx=69, max_score=0.195099, most_related_idx=71
current_idx=70, max_score=0.122605, most_related_idx=72
current_idx=71, max_score=0.195099, most_related_idx=69
current_idx=72, max_score=0.140724, most_related_idx=74
current_idx=73, max_score=0.141436, most_related_idx=19
current_idx=74, max_score=0.160879, most_related_idx=76
current_idx=75, max_score=0.093710, most_related_idx=73
current_idx=76, max_score=0.172600, most_related_idx=66
current_idx=77, max_score=0.111883, most_related_idx=46
current_idx=78, max_score=0.158728, most_related_idx=10
current_idx=79, max_score=0.133847, most_related_idx=21
current_idx=80, max_score=0.131813, most_related_idx=50
current_idx=81, max_score=0.101117, most_related_idx=83
current_idx=82, max_score=0.105667, most_related_idx=38
current_idx=83, max_score=0.101117, most_related_idx=81
current_idx=84, max_score=0.095908, most_related_idx=82
current_idx=85, max_score=0.099456, most_related_idx=81
current_idx=86, max_score=0.114175, most_related_idx=71
current_idx=87, max_score=0.122350, most_related_idx=5
current_idx=88, max_score=0.115801, most_related_idx=17
current_idx=89, max_score=0.151750, most_related_idx=91
current_idx=90, max_score=0.188602, most_related_idx=50
current_idx=91, max_score=0.164728, most_related_idx=93
current_idx=92, max_score=0.089288, most_related_idx=40
current_idx=93, max_score=0.164728, most_related_idx=91
current_idx=94, max_score=0.087258, most_related_idx=28
current_idx=95, max_score=0.107441, most_related_idx=93
current_idx=96, max_score=0.129620, most_related_idx=71
current_idx=97, max_score=0.177899, most_related_idx=52
current_idx=98, max_score=0.143246, most_related_idx=71
current_idx=99, max_score=0.178349, most_related_idx=199
current_idx=100, max_score=0.118131, most_related_idx=102
current_idx=101, max_score=0.109297, most_related_idx=103
current_idx=102, max_score=0.135931, most_related_idx=128
current_idx=103, max_score=0.128850, most_related_idx=105
current_idx=104, max_score=0.102285, most_related_idx=129
current_idx=105, max_score=0.158864, most_related_idx=107
current_idx=106, max_score=0.206252, most_related_idx=108
current_idx=107, max_score=0.158864, most_related_idx=105
current_idx=108, max_score=0.245856, most_related_idx=110
current_idx=109, max_score=0.140819, most_related_idx=111
current_idx=110, max_score=0.361245, most_related_idx=112
current_idx=111, max_score=0.151107, most_related_idx=113
current_idx=112, max_score=0.361245, most_related_idx=110
current_idx=113, max_score=0.175263, most_related_idx=115
current_idx=114, max_score=0.220506, most_related_idx=116
current_idx=115, max_score=0.200418, most_related_idx=117
current_idx=116, max_score=0.220506, most_related_idx=114
current_idx=117, max_score=0.200418, most_related_idx=115
current_idx=118, max_score=0.197628, most_related_idx=114
current_idx=119, max_score=0.165735, most_related_idx=117
current_idx=120, max_score=0.107232, most_related_idx=122
current_idx=121, max_score=0.120035, most_related_idx=123
current_idx=122, max_score=0.140432, most_related_idx=124
current_idx=123, max_score=0.140836, most_related_idx=127
current_idx=124, max_score=0.203485, most_related_idx=135
current_idx=125, max_score=0.181491, most_related_idx=127
current_idx=126, max_score=0.166836, most_related_idx=128
current_idx=127, max_score=0.181491, most_related_idx=125
current_idx=128, max_score=0.219668, most_related_idx=130
current_idx=129, max_score=0.137337, most_related_idx=131
current_idx=130, max_score=0.219668, most_related_idx=128
current_idx=131, max_score=0.137337, most_related_idx=129
current_idx=132, max_score=0.210932, most_related_idx=134
current_idx=133, max_score=0.118687, most_related_idx=135
current_idx=134, max_score=0.210932, most_related_idx=132
current_idx=135, max_score=0.203485, most_related_idx=124
current_idx=136, max_score=0.206231, most_related_idx=138
current_idx=137, max_score=0.148565, most_related_idx=135
current_idx=138, max_score=0.250756, most_related_idx=140
current_idx=139, max_score=0.118997, most_related_idx=137
current_idx=140, max_score=0.250756, most_related_idx=138
current_idx=141, max_score=0.117733, most_related_idx=137
current_idx=142, max_score=0.182228, most_related_idx=146
current_idx=143, max_score=0.116497, most_related_idx=109
current_idx=144, max_score=0.181123, most_related_idx=142
current_idx=145, max_score=0.083841, most_related_idx=119
current_idx=146, max_score=0.202845, most_related_idx=148
current_idx=147, max_score=0.137468, most_related_idx=149
current_idx=148, max_score=0.202845, most_related_idx=146
current_idx=149, max_score=0.164089, most_related_idx=99
current_idx=150, max_score=0.216861, most_related_idx=152
current_idx=151, max_score=0.289449, most_related_idx=153
current_idx=152, max_score=0.229018, most_related_idx=154
current_idx=153, max_score=0.289449, most_related_idx=151
