current_idx=1, max_score=0.089204, most_related_idx=722
current_idx=2, max_score=0.072677, most_related_idx=148
current_idx=3, max_score=0.056461, most_related_idx=181
current_idx=4, max_score=0.061835, most_related_idx=122
current_idx=5, max_score=0.082840, most_related_idx=720
current_idx=6, max_score=0.050058, most_related_idx=360
current_idx=7, max_score=0.064013, most_related_idx=471
current_idx=8, max_score=0.100049, most_related_idx=893
current_idx=9, max_score=0.116105, most_related_idx=343
current_idx=10, max_score=0.074569, most_related_idx=131
current_idx=11, max_score=0.058751, most_related_idx=101
current_idx=12, max_score=0.071819, most_related_idx=317
current_idx=13, max_score=0.103505, most_related_idx=231
current_idx=14, max_score=0.048942, most_related_idx=982
current_idx=15, max_score=0.067080, most_related_idx=180
current_idx=16, max_score=0.082220, most_related_idx=814
current_idx=17, max_score=0.073894, most_related_idx=564
current_idx=18, max_score=0.057933, most_related_idx=351
current_idx=19, max_score=0.041185, most_related_idx=752
current_idx=20, max_score=0.059554, most_related_idx=953
current_idx=21, max_score=0.026451, most_related_idx=124
current_idx=22, max_score=0.069355, most_related_idx=554
current_idx=23, max_score=0.041363, most_related_idx=408
current_idx=24, max_score=0.077901, most_related_idx=887
current_idx=25, max_score=0.041162, most_related_idx=744
current_idx=26, max_score=0.064917, most_related_idx=629
current_idx=27, max_score=0.053328, most_related_idx=701
current_idx=28, max_score=0.079870, most_related_idx=390
current_idx=29, max_score=0.013260, most_related_idx=746
current_idx=30, max_score=0.059100, most_related_idx=252
current_idx=31, max_score=0.053561, most_related_idx=271
current_idx=32, max_score=0.118700, most_related_idx=130
current_idx=33, max_score=0.057065, most_related_idx=309
current_idx=34, max_score=0.052696, most_related_idx=302
current_idx=35, max_score=0.055682, most_related_idx=282
current_idx=36, max_score=0.050904, most_related_idx=307
current_idx=37, max_score=0.052819, most_related_idx=272
current_idx=38, max_score=0.057738, most_related_idx=226
current_idx=39, max_score=0.528361, most_related_idx=399
current_idx=40, max_score=0.049850, most_related_idx=498
current_idx=41, max_score=0.042187, most_related_idx=891
current_idx=42, max_score=0.046417, most_related_idx=684
current_idx=43, max_score=0.042650, most_related_idx=232
current_idx=44, max_score=0.074158, most_related_idx=288
current_idx=45, max_score=0.053621, most_related_idx=288
current_idx=46, max_score=0.045054, most_related_idx=254
current_idx=47, max_score=0.102058, most_related_idx=868
current_idx=48, max_score=0.046803, most_related_idx=587
current_idx=49, max_score=0.016119, most_related_idx=328
current_idx=50, max_score=0.099451, most_related_idx=585
current_idx=51, max_score=0.063590, most_related_idx=782
current_idx=52, max_score=0.191819, most_related_idx=524
current_idx=53, max_score=0.094608, most_related_idx=332
current_idx=54, max_score=0.060731, most_related_idx=797
current_idx=55, max_score=0.091018, most_related_idx=940
current_idx=56, max_score=0.075413, most_related_idx=782
current_idx=57, max_score=0.082414, most_related_idx=151
current_idx=58, max_score=0.081247, most_related_idx=535
current_idx=59, max_score=0.125579, most_related_idx=958
current_idx=60, max_score=0.080020, most_related_idx=957
current_idx=61, max_score=0.090700, most_related_idx=906
current_idx=62, max_score=0.093097, most_related_idx=957
current_idx=63, max_score=0.081851, most_related_idx=155
current_idx=64, max_score=0.066652, most_related_idx=424
current_idx=65, max_score=0.121261, most_related_idx=637
current_idx=66, max_score=0.049404, most_related_idx=358
current_idx=67, max_score=0.053801, most_related_idx=473
current_idx=68, max_score=0.049617, most_related_idx=438
current_idx=69, max_score=0.041718, most_related_idx=104
current_idx=70, max_score=0.051297, most_related_idx=904
current_idx=71, max_score=0.071139, most_related_idx=650
current_idx=72, max_score=0.051172, most_related_idx=973
current_idx=73, max_score=0.054143, most_related_idx=120
current_idx=74, max_score=0.049450, most_related_idx=581
current_idx=75, max_score=0.097101, most_related_idx=453
current_idx=76, max_score=0.049311, most_related_idx=427
current_idx=77, max_score=0.063787, most_related_idx=279
current_idx=78, max_score=0.079087, most_related_idx=262
