current_idx=1, max_score=0.339602, most_related_idx=166
current_idx=2, max_score=0.333311, most_related_idx=104
current_idx=3, max_score=0.251561, most_related_idx=1
current_idx=4, max_score=0.248384, most_related_idx=2
current_idx=5, max_score=0.187438, most_related_idx=173
current_idx=6, max_score=0.165751, most_related_idx=190
current_idx=7, max_score=0.218548, most_related_idx=180
current_idx=8, max_score=0.210002, most_related_idx=233
current_idx=9, max_score=0.227452, most_related_idx=127
current_idx=10, max_score=0.309027, most_related_idx=258
current_idx=11, max_score=0.216204, most_related_idx=127
current_idx=12, max_score=0.413899, most_related_idx=709
current_idx=13, max_score=0.186795, most_related_idx=35
current_idx=14, max_score=0.284253, most_related_idx=128
current_idx=15, max_score=0.198377, most_related_idx=325
current_idx=16, max_score=0.271158, most_related_idx=319
current_idx=17, max_score=0.253657, most_related_idx=164
current_idx=18, max_score=0.300122, most_related_idx=226
current_idx=19, max_score=0.171164, most_related_idx=9
current_idx=20, max_score=0.251947, most_related_idx=46
current_idx=21, max_score=0.256624, most_related_idx=266
current_idx=22, max_score=0.156938, most_related_idx=47
current_idx=23, max_score=0.213480, most_related_idx=860
current_idx=24, max_score=0.215314, most_related_idx=26
current_idx=25, max_score=0.338184, most_related_idx=268
current_idx=26, max_score=0.215314, most_related_idx=24
current_idx=27, max_score=0.274953, most_related_idx=88
current_idx=28, max_score=0.309638, most_related_idx=30
current_idx=29, max_score=0.833524, most_related_idx=49
current_idx=30, max_score=0.309638, most_related_idx=28
current_idx=31, max_score=0.239991, most_related_idx=187
current_idx=32, max_score=0.242530, most_related_idx=90
current_idx=33, max_score=0.249083, most_related_idx=266
current_idx=34, max_score=0.253678, most_related_idx=795
current_idx=35, max_score=0.265050, most_related_idx=126
current_idx=36, max_score=0.192660, most_related_idx=189
current_idx=37, max_score=0.224293, most_related_idx=12
current_idx=38, max_score=0.258033, most_related_idx=226
current_idx=39, max_score=0.852384, most_related_idx=49
current_idx=40, max_score=0.311332, most_related_idx=46
current_idx=41, max_score=0.226258, most_related_idx=233
current_idx=42, max_score=0.375918, most_related_idx=986
current_idx=43, max_score=0.207050, most_related_idx=35
current_idx=44, max_score=0.331744, most_related_idx=2
current_idx=45, max_score=0.280828, most_related_idx=271
current_idx=46, max_score=0.414519, most_related_idx=124
current_idx=47, max_score=0.261526, most_related_idx=45
current_idx=48, max_score=0.319221, most_related_idx=46
current_idx=49, max_score=0.854141, most_related_idx=89
current_idx=50, max_score=0.332007, most_related_idx=590
current_idx=51, max_score=0.251729, most_related_idx=88
current_idx=52, max_score=0.307478, most_related_idx=50
current_idx=53, max_score=0.227773, most_related_idx=229
current_idx=54, max_score=0.230854, most_related_idx=52
current_idx=55, max_score=0.286757, most_related_idx=57
current_idx=56, max_score=0.271956, most_related_idx=772
current_idx=57, max_score=0.286757, most_related_idx=55
current_idx=58, max_score=0.239807, most_related_idx=851
current_idx=59, max_score=0.439510, most_related_idx=61
current_idx=60, max_score=0.189105, most_related_idx=234
current_idx=61, max_score=0.439510, most_related_idx=59
current_idx=62, max_score=0.141812, most_related_idx=20
current_idx=63, max_score=0.296822, most_related_idx=61
current_idx=64, max_score=0.219994, most_related_idx=652
current_idx=65, max_score=0.254107, most_related_idx=57
current_idx=66, max_score=0.228395, most_related_idx=72
current_idx=67, max_score=0.236149, most_related_idx=231
current_idx=68, max_score=0.241215, most_related_idx=72
current_idx=69, max_score=0.197133, most_related_idx=71
current_idx=70, max_score=0.197095, most_related_idx=66
current_idx=71, max_score=0.281796, most_related_idx=126
current_idx=72, max_score=0.241215, most_related_idx=68
current_idx=73, max_score=0.284693, most_related_idx=96
current_idx=74, max_score=0.176676, most_related_idx=84
current_idx=75, max_score=0.328460, most_related_idx=104
current_idx=76, max_score=0.165492, most_related_idx=78
current_idx=77, max_score=0.374556, most_related_idx=42
current_idx=78, max_score=0.177515, most_related_idx=88
current_idx=79, max_score=0.542620, most_related_idx=220
current_idx=80, max_score=0.196831, most_related_idx=222
current_idx=81, max_score=0.248244, most_related_idx=986
current_idx=82, max_score=0.269288, most_related_idx=84
current_idx=83, max_score=0.235051, most_related_idx=102
current_idx=84, max_score=0.269288, most_related_idx=82
current_idx=85, max_score=0.246014, most_related_idx=998
current_idx=86, max_score=0.234015, most_related_idx=88
current_idx=87, max_score=0.234160, most_related_idx=171
current_idx=88, max_score=0.274953, most_related_idx=27
current_idx=89, max_score=0.854141, most_related_idx=49
current_idx=90, max_score=0.242530, most_related_idx=32
current_idx=91, max_score=0.415644, most_related_idx=233
current_idx=92, max_score=0.250446, most_related_idx=88
current_idx=93, max_score=0.302332, most_related_idx=287
current_idx=94, max_score=0.317861, most_related_idx=104
