current_idx=1, max_score=0.073959, most_related_idx=6
current_idx=2, max_score=0.067788, most_related_idx=81
current_idx=3, max_score=0.076618, most_related_idx=26
current_idx=4, max_score=0.079399, most_related_idx=25
current_idx=5, max_score=0.083092, most_related_idx=26
current_idx=6, max_score=0.085328, most_related_idx=81
current_idx=7, max_score=0.072890, most_related_idx=71
current_idx=8, max_score=0.068225, most_related_idx=82
current_idx=9, max_score=0.081970, most_related_idx=26
current_idx=10, max_score=0.081606, most_related_idx=35
current_idx=11, max_score=0.072067, most_related_idx=25
current_idx=12, max_score=0.080553, most_related_idx=23
current_idx=13, max_score=0.068111, most_related_idx=25
current_idx=14, max_score=0.064404, most_related_idx=25
current_idx=15, max_score=0.070715, most_related_idx=26
current_idx=16, max_score=0.067553, most_related_idx=31
current_idx=17, max_score=0.069138, most_related_idx=81
current_idx=18, max_score=0.068908, most_related_idx=29
current_idx=19, max_score=0.082421, most_related_idx=23
current_idx=20, max_score=0.076459, most_related_idx=26
current_idx=21, max_score=0.095383, most_related_idx=23
current_idx=22, max_score=0.087279, most_related_idx=26
current_idx=23, max_score=0.103227, most_related_idx=26
current_idx=24, max_score=0.098437, most_related_idx=26
current_idx=25, max_score=0.101561, most_related_idx=23
current_idx=26, max_score=0.113630, most_related_idx=82
current_idx=27, max_score=0.087810, most_related_idx=23
current_idx=28, max_score=0.111791, most_related_idx=26
current_idx=29, max_score=0.089521, most_related_idx=23
current_idx=30, max_score=0.094190, most_related_idx=26
current_idx=31, max_score=0.085515, most_related_idx=23
current_idx=32, max_score=0.081653, most_related_idx=26
current_idx=33, max_score=0.082673, most_related_idx=26
current_idx=34, max_score=0.068464, most_related_idx=25
current_idx=35, max_score=0.094845, most_related_idx=26
current_idx=36, max_score=0.087173, most_related_idx=26
current_idx=37, max_score=0.084969, most_related_idx=25
current_idx=38, max_score=0.099841, most_related_idx=26
current_idx=39, max_score=0.090622, most_related_idx=26
current_idx=40, max_score=0.094673, most_related_idx=23
current_idx=41, max_score=0.088064, most_related_idx=26
current_idx=42, max_score=0.093891, most_related_idx=26
current_idx=43, max_score=0.066029, most_related_idx=38
current_idx=44, max_score=0.087273, most_related_idx=26
current_idx=45, max_score=0.078832, most_related_idx=47
current_idx=46, max_score=0.097343, most_related_idx=26
current_idx=47, max_score=0.085448, most_related_idx=38
current_idx=48, max_score=0.072156, most_related_idx=26
current_idx=49, max_score=0.067161, most_related_idx=25
current_idx=50, max_score=0.048473, most_related_idx=23
current_idx=51, max_score=0.064442, most_related_idx=23
current_idx=52, max_score=0.057491, most_related_idx=54
current_idx=53, max_score=0.068448, most_related_idx=25
current_idx=54, max_score=0.060561, most_related_idx=68
current_idx=55, max_score=0.058306, most_related_idx=57
current_idx=56, max_score=0.068031, most_related_idx=76
current_idx=57, max_score=0.058306, most_related_idx=55
current_idx=58, max_score=0.066364, most_related_idx=66
current_idx=59, max_score=0.059750, most_related_idx=61
current_idx=60, max_score=0.065985, most_related_idx=25
current_idx=61, max_score=0.059750, most_related_idx=59
current_idx=62, max_score=0.071229, most_related_idx=28
current_idx=63, max_score=0.055308, most_related_idx=61
current_idx=64, max_score=0.082887, most_related_idx=26
current_idx=65, max_score=0.057702, most_related_idx=71
current_idx=66, max_score=0.100773, most_related_idx=82
current_idx=67, max_score=0.073418, most_related_idx=83
current_idx=68, max_score=0.089155, most_related_idx=66
current_idx=69, max_score=0.078044, most_related_idx=71
current_idx=70, max_score=0.091169, most_related_idx=26
current_idx=71, max_score=0.094129, most_related_idx=81
current_idx=72, max_score=0.083940, most_related_idx=68
current_idx=73, max_score=0.089805, most_related_idx=82
current_idx=74, max_score=0.070399, most_related_idx=72
current_idx=75, max_score=0.088211, most_related_idx=26
current_idx=76, max_score=0.077714, most_related_idx=26
current_idx=77, max_score=0.091350, most_related_idx=26
current_idx=78, max_score=0.076928, most_related_idx=26
current_idx=79, max_score=0.087106, most_related_idx=23
current_idx=80, max_score=0.078619, most_related_idx=84
current_idx=81, max_score=0.094129, most_related_idx=71
current_idx=82, max_score=0.113630, most_related_idx=26
current_idx=83, max_score=0.084874, most_related_idx=84
current_idx=84, max_score=0.109346, most_related_idx=82
current_idx=85, max_score=0.074374, most_related_idx=79
current_idx=86, max_score=0.098859, most_related_idx=82
current_idx=87, max_score=0.072268, most_related_idx=38
current_idx=88, max_score=0.096014, most_related_idx=26
current_idx=89, max_score=0.067772, most_related_idx=87
current_idx=90, max_score=0.093240, most_related_idx=26
current_idx=91, max_score=0.071031, most_related_idx=93
current_idx=92, max_score=0.098535, most_related_idx=82
current_idx=93, max_score=0.074726, most_related_idx=81
current_idx=94, max_score=0.094949, most_related_idx=26
current_idx=95, max_score=0.065286, most_related_idx=93
current_idx=96, max_score=0.104944, most_related_idx=26
current_idx=97, max_score=0.063275, most_related_idx=25
current_idx=98, max_score=0.091876, most_related_idx=26
current_idx=99, max_score=0.060841, most_related_idx=95
