current_idx=1, max_score=0.073353, most_related_idx=37
current_idx=2, max_score=0.063801, most_related_idx=25
current_idx=3, max_score=0.071092, most_related_idx=81
current_idx=4, max_score=0.076799, most_related_idx=23
current_idx=5, max_score=0.081035, most_related_idx=25
current_idx=6, max_score=0.086102, most_related_idx=24
current_idx=7, max_score=0.071942, most_related_idx=81
current_idx=8, max_score=0.087333, most_related_idx=26
current_idx=9, max_score=0.081671, most_related_idx=25
current_idx=10, max_score=0.068688, most_related_idx=82
current_idx=11, max_score=0.070003, most_related_idx=25
current_idx=12, max_score=0.069495, most_related_idx=23
current_idx=13, max_score=0.065355, most_related_idx=139
current_idx=14, max_score=0.068138, most_related_idx=5
current_idx=15, max_score=0.063339, most_related_idx=33
current_idx=16, max_score=0.068934, most_related_idx=38
current_idx=17, max_score=0.065885, most_related_idx=147
current_idx=18, max_score=0.073338, most_related_idx=26
current_idx=19, max_score=0.076709, most_related_idx=124
current_idx=20, max_score=0.068652, most_related_idx=75
current_idx=21, max_score=0.087616, most_related_idx=90
current_idx=22, max_score=0.086935, most_related_idx=26
current_idx=23, max_score=0.097403, most_related_idx=26
current_idx=24, max_score=0.099799, most_related_idx=26
current_idx=25, max_score=0.090770, most_related_idx=23
current_idx=26, max_score=0.104754, most_related_idx=28
current_idx=27, max_score=0.087332, most_related_idx=26
current_idx=28, max_score=0.104754, most_related_idx=26
current_idx=29, max_score=0.079075, most_related_idx=38
current_idx=30, max_score=0.092929, most_related_idx=24
current_idx=31, max_score=0.083263, most_related_idx=23
current_idx=32, max_score=0.079009, most_related_idx=26
current_idx=33, max_score=0.078044, most_related_idx=26
current_idx=34, max_score=0.066725, most_related_idx=135
current_idx=35, max_score=0.085360, most_related_idx=28
current_idx=36, max_score=0.080411, most_related_idx=23
current_idx=37, max_score=0.087983, most_related_idx=24
current_idx=38, max_score=0.095476, most_related_idx=26
current_idx=39, max_score=0.084797, most_related_idx=23
current_idx=40, max_score=0.091801, most_related_idx=86
current_idx=41, max_score=0.076442, most_related_idx=81
current_idx=42, max_score=0.097440, most_related_idx=26
current_idx=43, max_score=0.067495, most_related_idx=82
current_idx=44, max_score=0.090405, most_related_idx=26
current_idx=45, max_score=0.068293, most_related_idx=26
current_idx=46, max_score=0.090866, most_related_idx=82
current_idx=47, max_score=0.067018, most_related_idx=26
current_idx=48, max_score=0.067018, most_related_idx=26
current_idx=49, max_score=0.066538, most_related_idx=28
current_idx=50, max_score=0.046152, most_related_idx=46
current_idx=51, max_score=0.064860, most_related_idx=147
current_idx=52, max_score=0.056278, most_related_idx=26
current_idx=53, max_score=0.064724, most_related_idx=17
