current_idx=1, max_score=0.077230, most_related_idx=71
current_idx=2, max_score=0.073036, most_related_idx=26
current_idx=3, max_score=0.077156, most_related_idx=81
current_idx=4, max_score=0.084269, most_related_idx=234
current_idx=5, max_score=0.084377, most_related_idx=83
current_idx=6, max_score=0.094763, most_related_idx=262
current_idx=7, max_score=0.077820, most_related_idx=71
current_idx=8, max_score=0.079684, most_related_idx=234
current_idx=9, max_score=0.087523, most_related_idx=290
current_idx=10, max_score=0.075599, most_related_idx=290
current_idx=11, max_score=0.070960, most_related_idx=15
current_idx=12, max_score=0.070879, most_related_idx=4
current_idx=13, max_score=0.067065, most_related_idx=290
current_idx=14, max_score=0.069855, most_related_idx=20
current_idx=15, max_score=0.070960, most_related_idx=11
current_idx=16, max_score=0.066884, most_related_idx=22
current_idx=17, max_score=0.069555, most_related_idx=79
current_idx=18, max_score=0.067350, most_related_idx=25
current_idx=19, max_score=0.077935, most_related_idx=23
current_idx=20, max_score=0.077963, most_related_idx=26
current_idx=21, max_score=0.087405, most_related_idx=25
current_idx=22, max_score=0.098606, most_related_idx=234
current_idx=23, max_score=0.106166, most_related_idx=26
current_idx=24, max_score=0.112697, most_related_idx=26
current_idx=25, max_score=0.088950, most_related_idx=28
current_idx=26, max_score=0.121840, most_related_idx=28
current_idx=27, max_score=0.080714, most_related_idx=25
current_idx=28, max_score=0.121840, most_related_idx=26
current_idx=29, max_score=0.084939, most_related_idx=88
current_idx=30, max_score=0.100157, most_related_idx=26
current_idx=31, max_score=0.084006, most_related_idx=23
current_idx=32, max_score=0.085556, most_related_idx=234
current_idx=33, max_score=0.084571, most_related_idx=234
current_idx=34, max_score=0.072216, most_related_idx=81
current_idx=35, max_score=0.084435, most_related_idx=28
current_idx=36, max_score=0.092447, most_related_idx=234
current_idx=37, max_score=0.088635, most_related_idx=82
current_idx=38, max_score=0.099062, most_related_idx=26
current_idx=39, max_score=0.096344, most_related_idx=26
current_idx=40, max_score=0.094818, most_related_idx=234
current_idx=41, max_score=0.078448, most_related_idx=234
current_idx=42, max_score=0.110455, most_related_idx=290
current_idx=43, max_score=0.067571, most_related_idx=83
current_idx=44, max_score=0.092164, most_related_idx=234
current_idx=45, max_score=0.089662, most_related_idx=26
current_idx=46, max_score=0.091270, most_related_idx=292
current_idx=47, max_score=0.073180, most_related_idx=290
current_idx=48, max_score=0.076811, most_related_idx=234
current_idx=49, max_score=0.076865, most_related_idx=234
current_idx=50, max_score=0.049903, most_related_idx=256
current_idx=51, max_score=0.062095, most_related_idx=23
current_idx=52, max_score=0.057227, most_related_idx=26
current_idx=53, max_score=0.061380, most_related_idx=23
current_idx=54, max_score=0.055345, most_related_idx=68
current_idx=55, max_score=0.063751, most_related_idx=156
current_idx=56, max_score=0.056664, most_related_idx=68
current_idx=57, max_score=0.055969, most_related_idx=170
current_idx=58, max_score=0.066514, most_related_idx=234
current_idx=59, max_score=0.054719, most_related_idx=152
current_idx=60, max_score=0.073918, most_related_idx=62
current_idx=61, max_score=0.065493, most_related_idx=154
current_idx=62, max_score=0.073918, most_related_idx=60
current_idx=63, max_score=0.064033, most_related_idx=158
current_idx=64, max_score=0.090119, most_related_idx=26
current_idx=65, max_score=0.051951, most_related_idx=81
current_idx=66, max_score=0.100927, most_related_idx=26
current_idx=67, max_score=0.071963, most_related_idx=71
current_idx=68, max_score=0.092659, most_related_idx=290
current_idx=69, max_score=0.080625, most_related_idx=88
current_idx=70, max_score=0.086422, most_related_idx=234
current_idx=71, max_score=0.090928, most_related_idx=73
current_idx=72, max_score=0.079872, most_related_idx=288
current_idx=73, max_score=0.090928, most_related_idx=71
current_idx=74, max_score=0.072950, most_related_idx=27
current_idx=75, max_score=0.091311, most_related_idx=26
current_idx=76, max_score=0.076670, most_related_idx=23
current_idx=77, max_score=0.086974, most_related_idx=26
current_idx=78, max_score=0.076821, most_related_idx=234
current_idx=79, max_score=0.089425, most_related_idx=86
current_idx=80, max_score=0.093230, most_related_idx=26
current_idx=81, max_score=0.091018, most_related_idx=83
current_idx=82, max_score=0.101167, most_related_idx=290
current_idx=83, max_score=0.091018, most_related_idx=81
current_idx=84, max_score=0.098095, most_related_idx=26
current_idx=85, max_score=0.080540, most_related_idx=81
current_idx=86, max_score=0.100607, most_related_idx=26
current_idx=87, max_score=0.067905, most_related_idx=26
current_idx=88, max_score=0.109969, most_related_idx=234
current_idx=89, max_score=0.071925, most_related_idx=290
current_idx=90, max_score=0.094578, most_related_idx=26
current_idx=91, max_score=0.065747, most_related_idx=81
current_idx=92, max_score=0.095366, most_related_idx=288
current_idx=93, max_score=0.070708, most_related_idx=81
current_idx=94, max_score=0.099951, most_related_idx=26
current_idx=95, max_score=0.073771, most_related_idx=97
current_idx=96, max_score=0.110117, most_related_idx=234
current_idx=97, max_score=0.073771, most_related_idx=95
current_idx=98, max_score=0.091176, most_related_idx=26
current_idx=99, max_score=0.060437, most_related_idx=25
current_idx=100, max_score=0.088856, most_related_idx=234
current_idx=101, max_score=0.061910, most_related_idx=103
current_idx=102, max_score=0.089839, most_related_idx=250
