current_idx=1, max_score=0.040044, most_related_idx=83
current_idx=2, max_score=0.041335, most_related_idx=83
current_idx=3, max_score=0.040188, most_related_idx=21
current_idx=4, max_score=0.044535, most_related_idx=28
current_idx=5, max_score=0.044303, most_related_idx=23
current_idx=6, max_score=0.058328, most_related_idx=234
current_idx=7, max_score=0.042686, most_related_idx=77
current_idx=8, max_score=0.043726, most_related_idx=256
current_idx=9, max_score=0.047946, most_related_idx=26
current_idx=10, max_score=0.040147, most_related_idx=139
current_idx=11, max_score=0.038729, most_related_idx=82
current_idx=12, max_score=0.044659, most_related_idx=38
current_idx=13, max_score=0.040081, most_related_idx=19
current_idx=14, max_score=0.036655, most_related_idx=26
current_idx=15, max_score=0.037705, most_related_idx=294
current_idx=16, max_score=0.042413, most_related_idx=5
current_idx=17, max_score=0.040303, most_related_idx=23
current_idx=18, max_score=0.044779, most_related_idx=26
current_idx=19, max_score=0.049334, most_related_idx=24
current_idx=20, max_score=0.041623, most_related_idx=21
current_idx=21, max_score=0.052553, most_related_idx=23
current_idx=22, max_score=0.049241, most_related_idx=252
current_idx=23, max_score=0.064020, most_related_idx=26
current_idx=24, max_score=0.057578, most_related_idx=96
current_idx=25, max_score=0.049414, most_related_idx=26
current_idx=26, max_score=0.064304, most_related_idx=234
current_idx=27, max_score=0.046509, most_related_idx=26
current_idx=28, max_score=0.062077, most_related_idx=26
current_idx=29, max_score=0.045073, most_related_idx=73
current_idx=30, max_score=0.055890, most_related_idx=82
current_idx=31, max_score=0.047161, most_related_idx=290
current_idx=32, max_score=0.046422, most_related_idx=256
current_idx=33, max_score=0.048248, most_related_idx=234
current_idx=34, max_score=0.043138, most_related_idx=26
current_idx=35, max_score=0.048501, most_related_idx=290
current_idx=36, max_score=0.049131, most_related_idx=234
current_idx=37, max_score=0.054529, most_related_idx=26
current_idx=38, max_score=0.058036, most_related_idx=290
current_idx=39, max_score=0.051839, most_related_idx=26
current_idx=40, max_score=0.058302, most_related_idx=234
current_idx=41, max_score=0.045927, most_related_idx=250
current_idx=42, max_score=0.055070, most_related_idx=290
current_idx=43, max_score=0.036824, most_related_idx=257
current_idx=44, max_score=0.054049, most_related_idx=290
current_idx=45, max_score=0.043650, most_related_idx=266
current_idx=46, max_score=0.050911, most_related_idx=24
current_idx=47, max_score=0.041751, most_related_idx=23
current_idx=48, max_score=0.037734, most_related_idx=26
current_idx=49, max_score=0.035991, most_related_idx=288
current_idx=50, max_score=0.031947, most_related_idx=126
current_idx=51, max_score=0.038525, most_related_idx=6
current_idx=52, max_score=0.029311, most_related_idx=92
current_idx=53, max_score=0.032715, most_related_idx=23
current_idx=54, max_score=0.032143, most_related_idx=288
current_idx=55, max_score=0.034616, most_related_idx=156
current_idx=56, max_score=0.032223, most_related_idx=292
current_idx=57, max_score=0.034604, most_related_idx=149
current_idx=58, max_score=0.035606, most_related_idx=62
current_idx=59, max_score=0.046669, most_related_idx=166
current_idx=60, max_score=0.043790, most_related_idx=72
current_idx=61, max_score=0.043780, most_related_idx=63
current_idx=62, max_score=0.041496, most_related_idx=26
current_idx=63, max_score=0.043780, most_related_idx=61
current_idx=64, max_score=0.044035, most_related_idx=294
current_idx=65, max_score=0.032109, most_related_idx=67
current_idx=66, max_score=0.051586, most_related_idx=26
current_idx=67, max_score=0.040186, most_related_idx=77
current_idx=68, max_score=0.048413, most_related_idx=82
current_idx=69, max_score=0.042898, most_related_idx=23
current_idx=70, max_score=0.042881, most_related_idx=68
current_idx=71, max_score=0.053291, most_related_idx=82
current_idx=72, max_score=0.043790, most_related_idx=60
current_idx=73, max_score=0.052294, most_related_idx=81
current_idx=74, max_score=0.037201, most_related_idx=82
current_idx=75, max_score=0.045231, most_related_idx=288
current_idx=76, max_score=0.037067, most_related_idx=184
current_idx=77, max_score=0.048392, most_related_idx=28
current_idx=78, max_score=0.040941, most_related_idx=124
current_idx=79, max_score=0.050590, most_related_idx=82
current_idx=80, max_score=0.050288, most_related_idx=86
