current_idx=1, max_score=0.065381, most_related_idx=288
current_idx=2, max_score=0.061698, most_related_idx=816
current_idx=3, max_score=0.061290, most_related_idx=288
current_idx=4, max_score=0.073960, most_related_idx=288
current_idx=5, max_score=0.064729, most_related_idx=288
current_idx=6, max_score=0.068860, most_related_idx=26
current_idx=7, max_score=0.063586, most_related_idx=304
current_idx=8, max_score=0.061380, most_related_idx=290
current_idx=9, max_score=0.065405, most_related_idx=302
current_idx=10, max_score=0.069245, most_related_idx=26
current_idx=11, max_score=0.059981, most_related_idx=29
current_idx=12, max_score=0.069554, most_related_idx=300
current_idx=13, max_score=0.053411, most_related_idx=25
current_idx=14, max_score=0.064390, most_related_idx=288
current_idx=15, max_score=0.051415, most_related_idx=298
current_idx=16, max_score=0.058566, most_related_idx=196
current_idx=17, max_score=0.060142, most_related_idx=132
current_idx=18, max_score=0.059840, most_related_idx=816
current_idx=19, max_score=0.062317, most_related_idx=37
current_idx=20, max_score=0.064884, most_related_idx=816
current_idx=21, max_score=0.072548, most_related_idx=288
current_idx=22, max_score=0.076898, most_related_idx=288
current_idx=23, max_score=0.086753, most_related_idx=302
current_idx=24, max_score=0.079179, most_related_idx=288
current_idx=25, max_score=0.083653, most_related_idx=288
current_idx=26, max_score=0.085834, most_related_idx=288
current_idx=27, max_score=0.077403, most_related_idx=300
current_idx=28, max_score=0.080096, most_related_idx=288
current_idx=29, max_score=0.078024, most_related_idx=25
current_idx=30, max_score=0.077788, most_related_idx=288
current_idx=31, max_score=0.071251, most_related_idx=288
current_idx=32, max_score=0.069553, most_related_idx=288
current_idx=33, max_score=0.063276, most_related_idx=288
current_idx=34, max_score=0.068021, most_related_idx=23
current_idx=35, max_score=0.068125, most_related_idx=39
current_idx=36, max_score=0.074505, most_related_idx=300
current_idx=37, max_score=0.078785, most_related_idx=71
current_idx=38, max_score=0.084395, most_related_idx=288
current_idx=39, max_score=0.077789, most_related_idx=288
current_idx=40, max_score=0.075566, most_related_idx=288
current_idx=41, max_score=0.076859, most_related_idx=288
current_idx=42, max_score=0.074669, most_related_idx=288
current_idx=43, max_score=0.070202, most_related_idx=300
current_idx=44, max_score=0.078914, most_related_idx=288
current_idx=45, max_score=0.074442, most_related_idx=83
current_idx=46, max_score=0.075041, most_related_idx=288
current_idx=47, max_score=0.078241, most_related_idx=49
current_idx=48, max_score=0.054903, most_related_idx=290
current_idx=49, max_score=0.078241, most_related_idx=47
current_idx=50, max_score=0.048955, most_related_idx=298
current_idx=51, max_score=0.073541, most_related_idx=49
