current_idx=1, max_score=0.088574, most_related_idx=3
current_idx=2, max_score=0.066302, most_related_idx=315
current_idx=3, max_score=0.114775, most_related_idx=321
current_idx=4, max_score=0.085458, most_related_idx=3
current_idx=5, max_score=0.090592, most_related_idx=3
current_idx=6, max_score=0.060184, most_related_idx=133
current_idx=7, max_score=0.097121, most_related_idx=323
current_idx=8, max_score=0.070268, most_related_idx=326
current_idx=9, max_score=0.098931, most_related_idx=870
current_idx=10, max_score=0.084087, most_related_idx=131
current_idx=11, max_score=0.085714, most_related_idx=862
current_idx=12, max_score=0.049390, most_related_idx=227
current_idx=13, max_score=0.078487, most_related_idx=207
current_idx=14, max_score=0.065783, most_related_idx=3
current_idx=15, max_score=0.072051, most_related_idx=3
current_idx=16, max_score=0.080303, most_related_idx=3
current_idx=17, max_score=0.090410, most_related_idx=164
current_idx=18, max_score=0.082931, most_related_idx=325
current_idx=19, max_score=0.089575, most_related_idx=242
current_idx=20, max_score=0.082234, most_related_idx=325
current_idx=21, max_score=0.085924, most_related_idx=46
current_idx=22, max_score=0.083203, most_related_idx=324
current_idx=23, max_score=0.082927, most_related_idx=197
current_idx=24, max_score=0.071881, most_related_idx=35
current_idx=25, max_score=0.065267, most_related_idx=321
current_idx=26, max_score=0.063461, most_related_idx=32
current_idx=27, max_score=0.055942, most_related_idx=137
current_idx=28, max_score=0.069854, most_related_idx=747
current_idx=29, max_score=0.052043, most_related_idx=249
current_idx=30, max_score=0.075616, most_related_idx=678
current_idx=31, max_score=0.072472, most_related_idx=324
current_idx=32, max_score=0.092276, most_related_idx=678
current_idx=33, max_score=0.063289, most_related_idx=608
current_idx=34, max_score=0.064411, most_related_idx=324
current_idx=35, max_score=0.084779, most_related_idx=324
current_idx=36, max_score=0.072385, most_related_idx=324
current_idx=37, max_score=0.064448, most_related_idx=137
current_idx=38, max_score=0.067217, most_related_idx=328
current_idx=39, max_score=0.081395, most_related_idx=322
current_idx=40, max_score=0.064225, most_related_idx=324
current_idx=41, max_score=0.075056, most_related_idx=201
current_idx=42, max_score=0.064790, most_related_idx=282
current_idx=43, max_score=0.067261, most_related_idx=201
current_idx=44, max_score=0.083046, most_related_idx=201
current_idx=45, max_score=0.065944, most_related_idx=322
current_idx=46, max_score=0.094020, most_related_idx=678
current_idx=47, max_score=0.063709, most_related_idx=235
current_idx=48, max_score=0.077090, most_related_idx=330
current_idx=49, max_score=0.091236, most_related_idx=325
current_idx=50, max_score=0.101422, most_related_idx=747
current_idx=51, max_score=0.121915, most_related_idx=325
current_idx=52, max_score=0.077542, most_related_idx=50
current_idx=53, max_score=0.092149, most_related_idx=51
current_idx=54, max_score=0.073017, most_related_idx=684
current_idx=55, max_score=0.064432, most_related_idx=61
current_idx=56, max_score=0.065485, most_related_idx=58
current_idx=57, max_score=0.075355, most_related_idx=59
current_idx=58, max_score=0.078801, most_related_idx=74
current_idx=59, max_score=0.088761, most_related_idx=892
current_idx=60, max_score=0.073312, most_related_idx=58
current_idx=61, max_score=0.092783, most_related_idx=63
current_idx=62, max_score=0.094537, most_related_idx=74
current_idx=63, max_score=0.092783, most_related_idx=61
current_idx=64, max_score=0.091715, most_related_idx=324
current_idx=65, max_score=0.067277, most_related_idx=163
current_idx=66, max_score=0.053838, most_related_idx=682
current_idx=67, max_score=0.113542, most_related_idx=325
current_idx=68, max_score=0.050608, most_related_idx=290
current_idx=69, max_score=0.058151, most_related_idx=326
current_idx=70, max_score=0.071632, most_related_idx=72
current_idx=71, max_score=0.052826, most_related_idx=278
current_idx=72, max_score=0.088772, most_related_idx=74
current_idx=73, max_score=0.057836, most_related_idx=324
current_idx=74, max_score=0.094537, most_related_idx=62
current_idx=75, max_score=0.054917, most_related_idx=23
current_idx=76, max_score=0.066746, most_related_idx=282
current_idx=77, max_score=0.058762, most_related_idx=326
current_idx=78, max_score=0.059445, most_related_idx=241
current_idx=79, max_score=0.072028, most_related_idx=862
current_idx=80, max_score=0.058158, most_related_idx=747
current_idx=81, max_score=0.051470, most_related_idx=30
current_idx=82, max_score=0.062689, most_related_idx=131
current_idx=83, max_score=0.040778, most_related_idx=824
current_idx=84, max_score=0.055512, most_related_idx=24
current_idx=85, max_score=0.064547, most_related_idx=870
current_idx=86, max_score=0.075738, most_related_idx=324
current_idx=87, max_score=0.071121, most_related_idx=555
current_idx=88, max_score=0.065062, most_related_idx=270
current_idx=89, max_score=0.097412, most_related_idx=97
current_idx=90, max_score=0.078996, most_related_idx=324
current_idx=91, max_score=0.135951, most_related_idx=97
current_idx=92, max_score=0.057413, most_related_idx=195
current_idx=93, max_score=0.108743, most_related_idx=91
current_idx=94, max_score=0.052458, most_related_idx=247
current_idx=95, max_score=0.112323, most_related_idx=97
current_idx=96, max_score=0.063565, most_related_idx=680
current_idx=97, max_score=0.135951, most_related_idx=91
current_idx=98, max_score=0.058589, most_related_idx=678
current_idx=99, max_score=0.100758, most_related_idx=97
current_idx=100, max_score=0.045833, most_related_idx=397
current_idx=101, max_score=0.089533, most_related_idx=99
current_idx=102, max_score=0.037672, most_related_idx=731
current_idx=103, max_score=0.071003, most_related_idx=101
current_idx=104, max_score=0.054039, most_related_idx=238
current_idx=105, max_score=0.059911, most_related_idx=956
current_idx=106, max_score=0.103149, most_related_idx=108
current_idx=107, max_score=0.054201, most_related_idx=201
current_idx=108, max_score=0.161577, most_related_idx=325
current_idx=109, max_score=0.069548, most_related_idx=322
current_idx=110, max_score=0.106213, most_related_idx=112
current_idx=111, max_score=0.061382, most_related_idx=157
current_idx=112, max_score=0.106213, most_related_idx=110
current_idx=113, max_score=0.075899, most_related_idx=115
