current_idx=1, max_score=0.517465, most_related_idx=3
current_idx=2, max_score=0.182158, most_related_idx=14
current_idx=3, max_score=0.517465, most_related_idx=1
current_idx=4, max_score=0.236562, most_related_idx=20
current_idx=5, max_score=0.221961, most_related_idx=7
current_idx=6, max_score=0.325762, most_related_idx=8
current_idx=7, max_score=0.339273, most_related_idx=1
current_idx=8, max_score=0.325762, most_related_idx=6
current_idx=9, max_score=0.249009, most_related_idx=7
current_idx=10, max_score=0.222623, most_related_idx=8
current_idx=11, max_score=0.213479, most_related_idx=10
current_idx=12, max_score=0.225170, most_related_idx=24
current_idx=13, max_score=0.280527, most_related_idx=17
current_idx=14, max_score=0.215139, most_related_idx=16
current_idx=15, max_score=0.353498, most_related_idx=17
current_idx=16, max_score=0.369973, most_related_idx=18
current_idx=17, max_score=0.353498, most_related_idx=15
current_idx=18, max_score=0.369973, most_related_idx=16
current_idx=19, max_score=0.019428, most_related_idx=47
current_idx=20, max_score=0.236562, most_related_idx=4
current_idx=21, max_score=0.473647, most_related_idx=23
current_idx=22, max_score=0.241624, most_related_idx=6
current_idx=23, max_score=0.574227, most_related_idx=25
current_idx=24, max_score=0.260034, most_related_idx=26
current_idx=25, max_score=0.574227, most_related_idx=23
current_idx=26, max_score=0.284174, most_related_idx=30
current_idx=27, max_score=0.293376, most_related_idx=31
current_idx=28, max_score=0.306966, most_related_idx=30
current_idx=29, max_score=0.021084, most_related_idx=27
current_idx=30, max_score=0.306966, most_related_idx=28
current_idx=31, max_score=0.352245, most_related_idx=37
current_idx=32, max_score=0.237197, most_related_idx=28
current_idx=33, max_score=0.318497, most_related_idx=31
current_idx=34, max_score=0.198447, most_related_idx=11
current_idx=35, max_score=0.279463, most_related_idx=43
current_idx=36, max_score=0.374764, most_related_idx=38
current_idx=37, max_score=0.357876, most_related_idx=43
current_idx=38, max_score=0.374764, most_related_idx=36
current_idx=39, max_score=0.019951, most_related_idx=47
current_idx=40, max_score=0.305951, most_related_idx=38
current_idx=41, max_score=0.269475, most_related_idx=47
current_idx=42, max_score=0.232903, most_related_idx=4
current_idx=43, max_score=0.357876, most_related_idx=37
current_idx=44, max_score=0.251508, most_related_idx=26
current_idx=45, max_score=0.297078, most_related_idx=31
current_idx=46, max_score=0.223635, most_related_idx=42
current_idx=47, max_score=0.322207, most_related_idx=16
current_idx=48, max_score=0.204991, most_related_idx=46
current_idx=49, max_score=0.015667, most_related_idx=34
current_idx=50, max_score=0.272722, most_related_idx=16
