current_idx=1, max_score=0.235841, most_related_idx=162
current_idx=2, max_score=0.117946, most_related_idx=936
current_idx=3, max_score=0.112904, most_related_idx=555
current_idx=4, max_score=0.123039, most_related_idx=991
current_idx=5, max_score=0.202474, most_related_idx=459
current_idx=6, max_score=0.087981, most_related_idx=302
current_idx=7, max_score=0.136779, most_related_idx=726
current_idx=8, max_score=0.143314, most_related_idx=789
current_idx=9, max_score=0.196166, most_related_idx=114
current_idx=10, max_score=0.073547, most_related_idx=258
current_idx=11, max_score=0.127314, most_related_idx=341
current_idx=12, max_score=0.063576, most_related_idx=806
current_idx=13, max_score=0.096262, most_related_idx=327
current_idx=14, max_score=0.125372, most_related_idx=994
current_idx=15, max_score=0.156519, most_related_idx=17
current_idx=16, max_score=0.161940, most_related_idx=18
current_idx=17, max_score=0.172632, most_related_idx=173
current_idx=18, max_score=0.161940, most_related_idx=16
current_idx=19, max_score=0.048028, most_related_idx=752
current_idx=20, max_score=0.107279, most_related_idx=657
current_idx=21, max_score=0.068933, most_related_idx=328
current_idx=22, max_score=0.151725, most_related_idx=286
current_idx=23, max_score=0.062474, most_related_idx=330
current_idx=24, max_score=0.093711, most_related_idx=308
current_idx=25, max_score=0.123683, most_related_idx=161
current_idx=26, max_score=0.080248, most_related_idx=278
current_idx=27, max_score=0.079792, most_related_idx=616
current_idx=28, max_score=0.157714, most_related_idx=30
current_idx=29, max_score=0.024552, most_related_idx=746
current_idx=30, max_score=0.157714, most_related_idx=28
current_idx=31, max_score=0.077264, most_related_idx=33
current_idx=32, max_score=0.106015, most_related_idx=252
current_idx=33, max_score=0.090567, most_related_idx=109
current_idx=34, max_score=0.069265, most_related_idx=229
current_idx=35, max_score=0.077838, most_related_idx=133
current_idx=36, max_score=0.090986, most_related_idx=710
current_idx=37, max_score=0.082047, most_related_idx=226
current_idx=38, max_score=0.142348, most_related_idx=226
current_idx=39, max_score=0.603466, most_related_idx=399
current_idx=40, max_score=0.092196, most_related_idx=234
current_idx=41, max_score=0.085623, most_related_idx=228
current_idx=42, max_score=0.064743, most_related_idx=300
current_idx=43, max_score=0.089262, most_related_idx=827
current_idx=44, max_score=0.130341, most_related_idx=258
current_idx=45, max_score=0.121550, most_related_idx=746
current_idx=46, max_score=0.074426, most_related_idx=248
current_idx=47, max_score=0.114914, most_related_idx=826
current_idx=48, max_score=0.116549, most_related_idx=416
current_idx=49, max_score=0.031231, most_related_idx=196
current_idx=50, max_score=0.101073, most_related_idx=985
current_idx=51, max_score=0.179376, most_related_idx=214
current_idx=52, max_score=0.140177, most_related_idx=585
current_idx=53, max_score=0.120054, most_related_idx=497
current_idx=54, max_score=0.092786, most_related_idx=854
current_idx=55, max_score=0.191271, most_related_idx=119
current_idx=56, max_score=0.087816, most_related_idx=58
current_idx=57, max_score=0.153379, most_related_idx=851
current_idx=58, max_score=0.087816, most_related_idx=56
current_idx=59, max_score=0.217593, most_related_idx=960
current_idx=60, max_score=0.154134, most_related_idx=775
current_idx=61, max_score=0.231697, most_related_idx=966
current_idx=62, max_score=0.093497, most_related_idx=60
current_idx=63, max_score=0.147894, most_related_idx=900
current_idx=64, max_score=0.098143, most_related_idx=959
current_idx=65, max_score=0.108012, most_related_idx=942
current_idx=66, max_score=0.105950, most_related_idx=193
current_idx=67, max_score=0.143943, most_related_idx=452
current_idx=68, max_score=0.066077, most_related_idx=801
current_idx=69, max_score=0.083340, most_related_idx=298
current_idx=70, max_score=0.098627, most_related_idx=72
current_idx=71, max_score=0.109029, most_related_idx=477
current_idx=72, max_score=0.126814, most_related_idx=532
current_idx=73, max_score=0.108390, most_related_idx=129
current_idx=74, max_score=0.089831, most_related_idx=779
current_idx=75, max_score=0.094582, most_related_idx=640
current_idx=76, max_score=0.077610, most_related_idx=655
current_idx=77, max_score=0.062864, most_related_idx=42
current_idx=78, max_score=0.112456, most_related_idx=230
current_idx=79, max_score=0.881801, most_related_idx=299
current_idx=80, max_score=0.147426, most_related_idx=577
current_idx=81, max_score=0.061164, most_related_idx=386
current_idx=82, max_score=0.094758, most_related_idx=255
current_idx=83, max_score=0.100989, most_related_idx=252
current_idx=84, max_score=0.126315, most_related_idx=257
current_idx=85, max_score=0.087791, most_related_idx=155
current_idx=86, max_score=0.070817, most_related_idx=246
current_idx=87, max_score=0.074070, most_related_idx=392
current_idx=88, max_score=0.052114, most_related_idx=226
current_idx=89, max_score=0.609289, most_related_idx=999
current_idx=90, max_score=0.083554, most_related_idx=647
current_idx=91, max_score=0.100509, most_related_idx=204
current_idx=92, max_score=0.097867, most_related_idx=765
current_idx=93, max_score=0.166496, most_related_idx=748
current_idx=94, max_score=0.197287, most_related_idx=721
current_idx=95, max_score=0.055420, most_related_idx=806
current_idx=96, max_score=0.074400, most_related_idx=126
current_idx=97, max_score=0.145510, most_related_idx=988
current_idx=98, max_score=0.119911, most_related_idx=536
current_idx=99, max_score=0.577467, most_related_idx=599
current_idx=100, max_score=0.082265, most_related_idx=254
current_idx=101, max_score=0.113429, most_related_idx=116
current_idx=102, max_score=0.155564, most_related_idx=126
current_idx=103, max_score=0.120135, most_related_idx=233
current_idx=104, max_score=0.135360, most_related_idx=940
current_idx=105, max_score=0.142151, most_related_idx=978
current_idx=106, max_score=0.223366, most_related_idx=214
current_idx=107, max_score=0.141121, most_related_idx=111
current_idx=108, max_score=0.352478, most_related_idx=114
current_idx=109, max_score=0.144557, most_related_idx=179
current_idx=110, max_score=0.343837, most_related_idx=108
current_idx=111, max_score=0.226640, most_related_idx=238
current_idx=112, max_score=0.329189, most_related_idx=110
current_idx=113, max_score=0.282056, most_related_idx=242
current_idx=114, max_score=0.352478, most_related_idx=108
current_idx=115, max_score=0.276219, most_related_idx=113
current_idx=116, max_score=0.248361, most_related_idx=609
current_idx=117, max_score=0.276415, most_related_idx=119
current_idx=118, max_score=0.156841, most_related_idx=116
current_idx=119, max_score=0.276415, most_related_idx=117
current_idx=120, max_score=0.120219, most_related_idx=645
current_idx=121, max_score=0.145140, most_related_idx=842
current_idx=122, max_score=0.150328, most_related_idx=648
current_idx=123, max_score=0.234910, most_related_idx=113
current_idx=124, max_score=0.130833, most_related_idx=126
current_idx=125, max_score=0.168195, most_related_idx=127
current_idx=126, max_score=0.155564, most_related_idx=102
current_idx=127, max_score=0.213742, most_related_idx=119
current_idx=128, max_score=0.111283, most_related_idx=122
current_idx=129, max_score=0.135057, most_related_idx=127
current_idx=130, max_score=0.099733, most_related_idx=300
current_idx=131, max_score=0.111390, most_related_idx=183
current_idx=132, max_score=0.242759, most_related_idx=138
current_idx=133, max_score=0.198555, most_related_idx=135
current_idx=134, max_score=0.321133, most_related_idx=136
current_idx=135, max_score=0.198555, most_related_idx=133
current_idx=136, max_score=0.348780, most_related_idx=138
current_idx=137, max_score=0.178386, most_related_idx=135
