current_idx=1, max_score=0.546115, most_related_idx=29
current_idx=2, max_score=0.504304, most_related_idx=7
current_idx=3, max_score=0.535511, most_related_idx=29
current_idx=4, max_score=0.531852, most_related_idx=25
current_idx=5, max_score=0.569780, most_related_idx=25
current_idx=6, max_score=0.542552, most_related_idx=22
current_idx=7, max_score=0.559083, most_related_idx=29
current_idx=8, max_score=0.485889, most_related_idx=40
current_idx=9, max_score=0.566764, most_related_idx=25
current_idx=10, max_score=0.519952, most_related_idx=23
current_idx=11, max_score=0.510736, most_related_idx=9
current_idx=12, max_score=0.524174, most_related_idx=9
current_idx=13, max_score=0.462082, most_related_idx=7
current_idx=14, max_score=0.477051, most_related_idx=4
current_idx=15, max_score=0.483380, most_related_idx=11
current_idx=16, max_score=0.457365, most_related_idx=27
current_idx=17, max_score=0.480764, most_related_idx=25
current_idx=18, max_score=0.453941, most_related_idx=25
current_idx=19, max_score=0.548884, most_related_idx=25
current_idx=20, max_score=0.496949, most_related_idx=25
current_idx=21, max_score=0.573406, most_related_idx=23
current_idx=22, max_score=0.542552, most_related_idx=6
current_idx=23, max_score=0.595132, most_related_idx=25
current_idx=24, max_score=0.556107, most_related_idx=26
current_idx=25, max_score=0.595132, most_related_idx=23
current_idx=26, max_score=0.580865, most_related_idx=28
current_idx=27, max_score=0.569571, most_related_idx=25
current_idx=28, max_score=0.580865, most_related_idx=26
current_idx=29, max_score=0.576021, most_related_idx=25
current_idx=30, max_score=0.574709, most_related_idx=28
current_idx=31, max_score=0.567133, most_related_idx=25
current_idx=32, max_score=0.526895, most_related_idx=38
current_idx=33, max_score=0.516811, most_related_idx=23
current_idx=34, max_score=0.515439, most_related_idx=9
current_idx=35, max_score=0.538757, most_related_idx=23
current_idx=36, max_score=0.562810, most_related_idx=38
current_idx=37, max_score=0.572103, most_related_idx=23
current_idx=38, max_score=0.570612, most_related_idx=39
current_idx=39, max_score=0.570612, most_related_idx=38
current_idx=40, max_score=0.561469, most_related_idx=37
current_idx=41, max_score=0.564012, most_related_idx=39
current_idx=42, max_score=0.542009, most_related_idx=28
current_idx=43, max_score=0.533439, most_related_idx=23
current_idx=44, max_score=0.536965, most_related_idx=26
current_idx=45, max_score=0.536807, most_related_idx=47
current_idx=46, max_score=0.507681, most_related_idx=26
current_idx=47, max_score=0.561880, most_related_idx=49
current_idx=48, max_score=0.442663, most_related_idx=46
current_idx=49, max_score=0.561880, most_related_idx=47
current_idx=50, max_score=0.378174, most_related_idx=36
