current_idx=1, max_score=0.016530, most_related_idx=183
current_idx=2, max_score=0.016891, most_related_idx=154
current_idx=3, max_score=0.018070, most_related_idx=183
current_idx=4, max_score=0.016549, most_related_idx=277
current_idx=5, max_score=0.018334, most_related_idx=250
current_idx=6, max_score=0.015569, most_related_idx=296
current_idx=7, max_score=0.017980, most_related_idx=257
current_idx=8, max_score=0.013106, most_related_idx=285
current_idx=9, max_score=0.017248, most_related_idx=294
current_idx=10, max_score=0.018484, most_related_idx=578
current_idx=11, max_score=0.015384, most_related_idx=174
current_idx=12, max_score=0.015902, most_related_idx=236
current_idx=13, max_score=0.014784, most_related_idx=217
current_idx=14, max_score=0.014827, most_related_idx=217
current_idx=15, max_score=0.015099, most_related_idx=291
current_idx=16, max_score=0.014530, most_related_idx=1000
current_idx=17, max_score=0.015698, most_related_idx=834
current_idx=18, max_score=0.014730, most_related_idx=158
current_idx=19, max_score=0.016873, most_related_idx=288
current_idx=20, max_score=0.015611, most_related_idx=251
current_idx=21, max_score=0.016774, most_related_idx=245
current_idx=22, max_score=0.016855, most_related_idx=267
current_idx=23, max_score=0.017878, most_related_idx=287
current_idx=24, max_score=0.018208, most_related_idx=126
current_idx=25, max_score=0.018545, most_related_idx=298
current_idx=26, max_score=0.020976, most_related_idx=250
current_idx=27, max_score=0.017970, most_related_idx=288
current_idx=28, max_score=0.017480, most_related_idx=294
current_idx=29, max_score=0.022834, most_related_idx=281
current_idx=30, max_score=0.017969, most_related_idx=314
current_idx=31, max_score=0.016551, most_related_idx=288
current_idx=32, max_score=0.022020, most_related_idx=404
current_idx=33, max_score=0.017537, most_related_idx=234
current_idx=34, max_score=0.020678, most_related_idx=553
current_idx=35, max_score=0.016879, most_related_idx=191
current_idx=36, max_score=0.020561, most_related_idx=301
current_idx=37, max_score=0.018964, most_related_idx=181
current_idx=38, max_score=0.018824, most_related_idx=292
current_idx=39, max_score=0.021001, most_related_idx=252
current_idx=40, max_score=0.016573, most_related_idx=259
current_idx=41, max_score=0.019555, most_related_idx=261
current_idx=42, max_score=0.017710, most_related_idx=254
current_idx=43, max_score=0.015715, most_related_idx=748
current_idx=44, max_score=0.015573, most_related_idx=275
current_idx=45, max_score=0.021108, most_related_idx=938
current_idx=46, max_score=0.015554, most_related_idx=266
current_idx=47, max_score=0.019932, most_related_idx=737
current_idx=48, max_score=0.013885, most_related_idx=435
current_idx=49, max_score=0.017231, most_related_idx=901
current_idx=50, max_score=0.015227, most_related_idx=52
current_idx=51, max_score=0.019010, most_related_idx=263
current_idx=52, max_score=0.015227, most_related_idx=50
current_idx=53, max_score=0.014829, most_related_idx=149
current_idx=54, max_score=0.012939, most_related_idx=854
current_idx=55, max_score=0.018291, most_related_idx=158
current_idx=56, max_score=0.014354, most_related_idx=699
current_idx=57, max_score=0.017706, most_related_idx=59
current_idx=58, max_score=0.014181, most_related_idx=300
current_idx=59, max_score=0.017906, most_related_idx=61
current_idx=60, max_score=0.015387, most_related_idx=185
current_idx=61, max_score=0.023221, most_related_idx=63
current_idx=62, max_score=0.016908, most_related_idx=227
current_idx=63, max_score=0.023221, most_related_idx=61
current_idx=64, max_score=0.019009, most_related_idx=250
current_idx=65, max_score=0.019039, most_related_idx=956
current_idx=66, max_score=0.020152, most_related_idx=250
current_idx=67, max_score=0.018330, most_related_idx=362
current_idx=68, max_score=0.019572, most_related_idx=290
current_idx=69, max_score=0.020553, most_related_idx=185
current_idx=70, max_score=0.020254, most_related_idx=257
current_idx=71, max_score=0.021259, most_related_idx=286
current_idx=72, max_score=0.019477, most_related_idx=637
current_idx=73, max_score=0.018687, most_related_idx=262
current_idx=74, max_score=0.017594, most_related_idx=181
current_idx=75, max_score=0.018912, most_related_idx=183
current_idx=76, max_score=0.015521, most_related_idx=183
current_idx=77, max_score=0.017024, most_related_idx=234
current_idx=78, max_score=0.015585, most_related_idx=304
current_idx=79, max_score=0.020096, most_related_idx=183
current_idx=80, max_score=0.016073, most_related_idx=263
current_idx=81, max_score=0.020800, most_related_idx=288
current_idx=82, max_score=0.021148, most_related_idx=294
current_idx=83, max_score=0.018868, most_related_idx=179
current_idx=84, max_score=0.021131, most_related_idx=307
current_idx=85, max_score=0.017613, most_related_idx=250
current_idx=86, max_score=0.021493, most_related_idx=234
current_idx=87, max_score=0.018168, most_related_idx=364
current_idx=88, max_score=0.018513, most_related_idx=187
current_idx=89, max_score=0.016154, most_related_idx=458
current_idx=90, max_score=0.018319, most_related_idx=234
current_idx=91, max_score=0.017556, most_related_idx=299
current_idx=92, max_score=0.019744, most_related_idx=290
current_idx=93, max_score=0.019808, most_related_idx=440
current_idx=94, max_score=0.017124, most_related_idx=290
current_idx=95, max_score=0.020380, most_related_idx=265
current_idx=96, max_score=0.016722, most_related_idx=292
current_idx=97, max_score=0.022235, most_related_idx=412
current_idx=98, max_score=0.019859, most_related_idx=288
current_idx=99, max_score=0.034994, most_related_idx=101
current_idx=100, max_score=0.019370, most_related_idx=226
current_idx=101, max_score=0.034994, most_related_idx=99
current_idx=102, max_score=0.022873, most_related_idx=290
current_idx=103, max_score=0.026938, most_related_idx=105
current_idx=104, max_score=0.021703, most_related_idx=183
current_idx=105, max_score=0.029297, most_related_idx=107
current_idx=106, max_score=0.023114, most_related_idx=347
current_idx=107, max_score=0.029454, most_related_idx=109
current_idx=108, max_score=0.025350, most_related_idx=323
current_idx=109, max_score=0.029454, most_related_idx=107
current_idx=110, max_score=0.024968, most_related_idx=112
current_idx=111, max_score=0.024423, most_related_idx=109
current_idx=112, max_score=0.040624, most_related_idx=114
current_idx=113, max_score=0.033967, most_related_idx=372
current_idx=114, max_score=0.040624, most_related_idx=112
current_idx=115, max_score=0.034561, most_related_idx=374
current_idx=116, max_score=0.031193, most_related_idx=114
current_idx=117, max_score=0.029513, most_related_idx=119
current_idx=118, max_score=0.021974, most_related_idx=114
current_idx=119, max_score=0.032166, most_related_idx=123
current_idx=120, max_score=0.018211, most_related_idx=122
current_idx=121, max_score=0.025074, most_related_idx=119
current_idx=122, max_score=0.022075, most_related_idx=116
